1919	2
1920	2
1921	1
1922	2
1923	3
1925	6
1926	8
1927	6
1928	3
1929	3
1930	7
1931	7
1932	7
1933	7
1934	7
1935	6
1936	8
1937	11
1938	6
1939	11
1940	19
1941	11
1942	13
1943	10
1944	13
1945	11
1946	13
1947	14
1948	12
1949	10
1950	14
1951	12
1952	11
1953	14
1954	15
1955	19
1956	18
1957	20
1958	22
1959	22
1960	15
1961	19
1962	20
1963	24
1964	16
1965	20
1966	12
1967	24
1968	21
1969	18
1970	16
1971	26
1972	22
1973	29
1974	27
1975	21
1976	21
1977	20
1978	29
1979	30
1980	40
1981	41
1982	46
1983	32
1984	58
1985	58
1986	99
1987	64
1988	58
1989	53
1990	70
1991	51
1992	94
1993	156
1994	239
1995	324
1996	321
1997	300
1998	323
1999	273
2000	150
